genus	number
ACER	906
AESCULUS	82
BETULA	150
CARPINUS	90
CASTANEA	1
CATALPA	53
CEDRUS	6
CERCIDIPHYLLUM	21
CERCIS	13
CHAMAECYPARIS	32
CHITALPA	1
CORNUS	11
CORYLUS	10
CRATAEGUS	148
DAVIDIA	10
FAGUS	77
FRAXINUS	54
GLEDITSIA	13
HIBISCUS	5
ILEX	2
JUGLANS	14
LABURNUM	6
LIQUIDAMBAR	55
LIRIODENDRON	39
MAGNOLIA	21
MALUS	68
PARROTIA	3
PINUS	12
PLATANUS	18
POPULUS	4
PRUNUS	657
PTELEA	2
PTEROCARYA	1
PYRUS	15
QUERCUS	78
ROBINIA	9
SALIX	2
SORBUS	6
STEWARTIA	1
STYRAX	1
SYRINGA	10
THUJA	11
TILIA	139
ULMUS	18
