genus	number
ACER	1427
AESCULUS	6
BETULA	11
CALOCEDRUS	3
CARPINUS	228
CERCIDIPHYLLUM	45
CORNUS	12
CRATAEGUS	21
FAGUS	322
FRAXINUS	71
GINKGO	62
GLEDITSIA	101
LIQUIDAMBAR	132
LIRIODENDRON	196
MAGNOLIA	54
MALUS	4
NYSSA	21
PARROTIA	48
PICEA	1
PINUS	2
PLATANUS	91
PRUNUS	105
PSEUDOTSUGA	1
PYRUS	78
QUERCUS	359
ROBINIA	6
SEQUOIADENDRON	3
SORBUS	4
STYRAX	12
SYRINGA	4
TAXUS	1
THUJA	3
TILIA	175
TRACHYCARPUS	6
ULMUS	12
